iter	Passed	Remaining
0	143	42785
1	144	21586
2	147	14589
3	149	11045
4	150	8898
5	152	7455
6	153	6423
7	154	5646
8	155	5039
9	157	4555
10	158	4162
11	159	3833
12	161	3555
13	162	3315
14	163	3107
15	164	2924
16	165	2762
17	167	2617
18	168	2488
19	169	2373
20	170	2271
21	172	2177
22	173	2089
23	174	2010
24	176	1936
25	177	1868
26	178	1803
27	179	1745
28	180	1689
29	182	1638
30	183	1590
31	184	1546
32	185	1504
33	187	1464
34	188	1426
35	189	1389
36	190	1355
37	191	1322
38	193	1292
39	194	1262
40	195	1234
41	196	1207
42	198	1185
43	199	1162
44	200	1138
45	202	1116
46	203	1095
47	204	1074
48	205	1054
49	207	1035
50	208	1017
51	209	999
52	210	982
53	212	966
54	213	950
55	214	934
56	215	919
57	217	905
58	218	891
59	219	877
60	220	864
61	221	851
62	223	839
63	224	827
64	225	816
65	227	805
66	228	794
67	229	783
68	230	773
69	232	762
70	233	752
71	234	742
72	235	732
73	236	723
74	238	714
75	239	706
76	241	698
77	242	689
78	243	681
79	244	673
80	246	665
81	247	657
82	248	649
83	249	642
84	251	635
85	252	627
86	253	620
87	254	613
88	255	606
89	257	599
90	258	592
91	259	585
92	260	579
93	261	573
94	262	566
95	263	560
96	265	554
97	266	548
98	267	542
99	268	536
100	269	531
101	270	525
102	271	519
103	272	514
104	274	508
105	275	503
106	276	498
107	277	493
108	278	487
109	279	482
110	280	477
111	281	472
112	282	468
113	284	463
114	285	458
115	286	454
116	287	449
117	288	445
118	289	440
119	290	436
120	291	431
121	292	427
122	294	423
123	295	418
124	296	415
125	297	411
126	298	407
127	299	402
128	300	398
129	301	394
130	303	390
131	304	387
132	305	383
133	306	379
134	307	375
135	308	371
136	309	368
137	310	364
138	311	361
139	313	358
140	314	354
141	315	351
142	316	347
143	318	344
144	319	341
145	320	337
146	321	334
147	322	331
148	323	327
149	324	324
150	326	321
151	327	318
152	328	315
153	329	312
154	330	309
155	331	306
156	332	303
157	333	300
158	334	297
159	335	293
160	336	290
161	337	287
162	338	284
163	340	282
164	341	279
165	342	276
166	343	273
167	344	270
168	345	267
169	346	265
170	347	262
171	348	259
172	349	256
173	351	254
174	352	251
175	353	248
176	354	246
177	355	243
178	356	240
179	357	238
180	358	235
181	359	232
182	360	230
183	361	227
184	362	225
185	363	222
186	364	220
187	365	217
188	366	215
189	367	212
190	368	210
191	369	207
192	370	205
193	371	203
194	373	200
195	373	198
196	375	196
197	376	193
198	377	191
199	378	189
200	379	186
201	380	184
202	381	182
203	382	179
204	383	177
205	384	175
206	386	173
207	388	171
208	389	169
209	391	167
210	392	165
211	393	163
212	394	161
213	395	158
214	396	156
215	397	154
216	398	152
217	399	150
218	401	148
219	402	146
220	403	144
221	404	142
222	405	140
223	407	138
224	408	136
225	409	133
226	410	131
227	411	129
228	412	127
229	413	125
230	414	123
231	415	121
232	416	119
233	417	117
234	418	115
235	419	113
236	420	111
237	421	109
238	422	107
239	423	105
240	424	103
241	425	102
242	426	100
243	427	98
244	428	96
245	430	94
246	431	92
247	432	90
248	432	88
249	433	86
250	434	84
251	435	83
252	436	81
253	437	79
254	438	77
255	439	75
256	440	73
257	441	71
258	442	70
259	443	68
260	444	66
261	445	64
262	446	62
263	447	61
264	448	59
265	449	57
266	450	55
267	452	53
268	453	52
269	453	50
270	454	48
271	455	46
272	456	45
273	458	43
274	459	41
275	460	40
276	461	38
277	462	36
278	463	34
279	464	33
280	465	31
281	466	29
282	467	28
283	468	26
284	469	24
285	470	23
286	471	21
287	472	19
288	473	18
289	474	16
290	475	14
291	476	13
292	477	11
293	478	9
294	479	8
295	480	6
296	481	4
297	482	3
298	483	1
299	484	0
